id;шаҳр;навъ;ном;СУРОҒА — ҳамин ҷо нависед
1df1000d-96ad-4644-9deb-0e34e26d3a9b;Ёвон;Коллеҷ;Коллеҷи тиббии ноҳияи Ёвон;
2415e9b6-f580-45c2-a54e-8fbfce60654a;Ёвон;Филиал;Филиали Коллеҷи муҳандисию омӯзгории шаҳри Душанбе дар ноҳияи Ёвон;
74c81c21-c696-4ab3-a440-f4347904f023;Ёвон;Филиал;Филиали Коллеҷи муҳандисӣ-омӯзгории шаҳри Бохтар (ғайридавлатӣ) дар ноҳияи Ёвон;
c20d90ec-2447-455b-819d-e65906e0a79c;Бобоҷон Ғафуров;Коллеҷ;Коллеҷи тиббии ноҳияи Бобоҷон Ғафуров (ғайридавлатӣ);
c51d2b95-96b9-4539-a8c6-ae3d6fd019a1;Бохтар;Донишгоҳ;Донишгоҳи давлатии Бохтар ба номи Носири Хусрав;
a778c32d-8876-4343-95b1-6354401c649e;Бохтар;Донишкада;Донишкадаи энергетикии Тоҷикистон;
b1057fc1-6448-4ddf-9116-82a53c12e385;Бохтар;Коллеҷ;Коллеҷи махсусгардонидашудаи шаҳри Бохтар;
7751fa20-9b04-4926-b1f7-61f19793179f;Бохтар;Коллеҷ;Коллеҷи муҳандисӣ-омӯзгории шаҳри Бохтар (ғайридавлатӣ);
bba4a094-f29a-4f00-a8b5-673fe3363983;Бохтар;Коллеҷ;Коллеҷи омӯзгории Донишгоҳи давлатии Бохтар ба номи Носири Хусрав;
5756cc8d-7435-43a0-af24-8b5c7e1a6fb3;Бохтар;Коллеҷ;Коллеҷи омӯзгорӣ ва рақамикунонии шаҳри Бохтар (ғайридавлатӣ);
85e93433-c6fd-4312-95b8-0f0966a9afd3;Бохтар;Коллеҷ;Коллеҷи тиббии хусусии "Даво"-и шаҳри Бохтар;
92ecc18e-0b47-4f3e-8539-d0620326fa87;Бохтар;Коллеҷ;Коллеҷи тиббии шаҳри Бохтар;
ff541b2c-e8af-4b98-83b4-aef73a50d450;Бохтар;Коллеҷ;Коллеҷи тиббӣ-инноватсионии шаҳри Бохтар (ғайридавлатӣ);
dd8368a5-c2b7-419c-bd5f-d98197d09185;Бохтар;Коллеҷ;Коллеҷи тиббӣ-иҷтимоии шаҳри Бохтар (ғайридавлатӣ);
497f6425-9713-4005-a5d8-c2ebf8b797c4;Бӯстон;Донишкада;Донишкадаи кӯҳӣ-металлургии Тоҷикистон;
152d427b-633e-49ae-8f95-11f7285d87b9;Бӯстон;Филиал;Филиали Коллеҷи тарбияи ҷисмонии Тоҷикистон дар шаҳри Бӯстон;
ccbfdba8-0969-4836-9189-a633cdb1f1b5;Вахш;Коллеҷ;Коллеҷи тиббии ноҳияи Вахш (ғайридавлатӣ);
b4fba791-094e-4a1b-a631-c6d99a26602d;Ваҳдат;Коллеҷ;Коллеҷи омӯзгорӣ ва сайёҳӣ дар шаҳри Ваҳдат (ғайридавлатӣ);
0042ad4a-2767-4923-ba5e-9063e0630dc8;Ваҳдат;Коллеҷ;Коллеҷи тиббии шаҳри Ваҳдат;
5392473f-f660-4843-893b-6a42190e2035;Восеъ;Коллеҷ;Коллеҷи тиббии ноҳияи Восеъ (ғайридавлатӣ);
867f85d4-1816-49e4-bcc9-df1c788916fb;Данғара;Донишгоҳ;Донишгоҳи давлатии Данғара;
11e0fda7-5834-497f-8a54-4ab56b21f045;Данғара;Донишгоҳ;Донишгоҳи давлатии тиббии Хатлон;
dbeaa04c-fae2-4249-b24a-fe463aeb9075;Данғара;Донишкада;Донишкадаи байналмилалии Данғараи Донишгоҳи байналмилалии сайёҳӣ ва соҳибкории Тоҷикистон;
d041e8a9-6220-4989-ab3b-0f2f49e6eceb;Данғара;Коллеҷ;Коллеҷи политехникии Донишгоҳи давлатии Данғара;
436bbcaa-2a8e-4bb7-870d-f026f9c8cd19;Данғара;Коллеҷ;Коллеҷи тиббии Донишгоҳи давлатии тиббии Хатлон дар ноҳияи Данғара;
f478297c-eff5-4c3f-aab7-7369a5c23888;Данғара;Коллеҷ;Коллеҷи тиббӣ-иҷтимоии ноҳияи Данғара (ғайридавлатӣ);
92735087-ecc2-4192-a32e-2d1040f15b21;Душанбе;Донишгоҳ;Донишгоҳи байналмилалии забонҳои хориҷии Тоҷикистон ба номи Сотим Улуғзода;
410bfe4f-761a-402b-b002-1ae7401d77a8;Душанбе;Донишгоҳ;Донишгоҳи байналмилалии сайёҳӣ ва соҳибкории Тоҷикистон;
00e1bffa-d261-4719-af06-3d991dfdf9d4;Душанбе;Донишгоҳ;Донишгоҳи инноватсия ва технологияҳои рақамии Тоҷикистон;
e26170f7-43ea-4499-a9da-ef9980ebba35;Душанбе;Донишгоҳ;Донишгоҳи миллии Тоҷикистон;
b0ac0525-477b-43a3-af32-55042ba77358;Душанбе;Донишкада;Донишкадаи давлатии санъати тасвирӣ ва дизайни Тоҷикистон;
03ae15f1-64fd-4f31-baa1-a34fdcb5cb88;Душанбе;Донишкада;Донишкадаи инноватсионии Душанбе (ғайридавлатӣ);
b73fa9a3-c452-4f5d-8d4d-b2fcb982c333;Душанбе;Донишкада;Донишкадаи исломии Тоҷикистон ба номи Имоми Аъзам‐Абӯҳанифа Нуъмон ибни Собит;
e8d2ecdf-92ed-48d1-aa89-75472d12a4b5;Душанбе;Донишкада;Донишкадаи саноат ва хизматрасонӣ (ғайридавлатӣ);
7a3fc8bc-a0c8-4078-ba9e-8cdfd35c152e;Душанбе;Донишкада;Донишкадаи тарбияи ҷисмонии Тоҷикистон ба номи С. Раҳимов;
96b2eab5-599a-463d-9fd9-6ab27b0fc565;Душанбе;Коллеҷ;Коллеҷи информатика ва техникаи компютерии шаҳри Душанбе;
f6cd4fa9-b8c6-4133-9bad-dcb5ef527eb6;Душанбе;Коллеҷ;Коллеҷи кӯҳии ба номи С. Юсуповаи шаҳри Душанбе;
580f3506-2268-42d1-a8f9-00d48a5f3569;Душанбе;Коллеҷ;Коллеҷи омӯзгории ба номи Хосият Махсумоваи Донишгоҳи давлатии омӯзгории Тоҷикистон ба номи Садриддин Айнӣ;
0dc874e9-5254-41b0-9a38-3fed81bf2799;Душанбе;Коллеҷ;Коллеҷи технологӣ-фарматсевтии Тоҷикистон;
4b21ec7b-bf87-4ac7-8b46-799c2ce6e6cb;Душанбе;Филиал;Филиали "Донишгоҳи миллии тадқиқотӣ"-и Донишкадаи энергетикии Москва дар шаҳри Душанбе;
8b05fc85-c2b3-457c-813e-2da58ebe527e;Душанбе;Филиал;Филиали Донишгоҳи миллии таҳқиқотии технологӣ "МИСиС" дар шаҳри Душанбе;
26517e36-a6c3-44a1-bb13-8372e0f4e532;Дӯстӣ;Филиал;Филиали Коллеҷи омӯзгорӣ-муҳандисии ноҳияи Ҷайҳун (ғайридавлатӣ) дар ноҳияи Дӯстӣ;
a48382d7-e21c-4398-8b42-908bbab3bcdb;Зафаробод;Коллеҷ;Коллеҷи омӯзгории ноҳияи Зафаробод;
54d0d903-281e-44c2-8b6e-bd439ca91b5e;Зафаробод;Коллеҷ;Коллеҷи политехникии ноҳияи Зафаробод;
2e8062ce-38ab-4b6c-9104-cd06ae49a628;Истаравшан;Коллеҷ;Коллеҷи тиббии шаҳри Истаравшан;
d2f6fcc6-1aa9-4691-9e3a-986e3da04b3d;Исфара;Коллеҷ;Коллеҷи тиббии шаҳри Исфара;
31c72827-7015-42df-b674-9f7e3d9719aa;Конибодом;Коллеҷ;Коллеҷи омӯзгории ба номи М. Турсунзодаи шаҳри Конибодом;
b773adca-9ad5-4c88-9874-18f865d5db92;Конибодом;Коллеҷ;Коллеҷи тиббии шаҳри Конибодом;
e579f101-389f-45a0-9944-c0d374ba6cb3;Кӯлоб;Коллеҷ;Коллеҷи иқтисодӣ-техникии шаҳри Кӯлоб (ғайридавлатӣ);
60c7d360-89b3-4214-9bfc-457b6ae49844;Кӯлоб;Коллеҷ;Коллеҷи технологияҳои инноватсионӣ ва иттилоотӣ-коммуникатсионии Кӯлоб;
c07e9ad4-2594-43c7-b3e0-7f159f164d55;Кӯлоб;Коллеҷ;Коллеҷи тиббии шаҳри Кӯлоб;
a8223a8d-c89c-4342-95d6-c51c49912d05;Кӯлоб;Коллеҷ;Коллеҷи тиббии шаҳри Кӯлоб (ғайридавлатӣ);
0608df70-7253-417f-96f4-17b95b5beec5;Лахш;Коллеҷ;Коллеҷи омӯзгории ноҳияи Лахш;
0c8b2e12-481f-45bc-8d5f-5034d16a73c8;Левакант;Донишкада;Донишкадаи байналмилалии Леваканти Донишгоҳи байналмилалии сайёҳӣ ва соҳибкории Тоҷикистон;
153f3155-db75-4761-9943-0f27d95d6b87;Левакант;Коллеҷ;Коллеҷи саноат ва хизматрасониҳои иҷтимоии шаҳри Левакант;
11e53fa0-9b30-417c-a84c-f723c061ba58;Левакант;Коллеҷ;Коллеҷи тиббӣ-иҷтимоии шаҳри Левакант (ғайридавлатӣ);
f66a5945-26ec-4b65-8d12-2e4626fc5c11;Мастчоҳ;Коллеҷ;Коллеҷи кишоварзии ноҳияи Мастчоҳ;
7395ecda-f51e-4dbe-92d0-b34a27cb84f1;Мастчоҳ;Коллеҷ;Коллеҷи омӯзгории ноҳияи Мастчоҳ;
6679234e-bcb0-42b1-90cb-2c18b4627f8a;Мир Сайид Алии Ҳамадонӣ;Филиал;Филиали Коллеҷи муҳандисӣ-омӯзгории шаҳри Бохтар (ғайридавлатӣ) дар ноҳияи Ҳамадонӣ;
0271efa5-df15-4671-aeb2-72424e67949a;Муъминобод;Коллеҷ;Коллеҷи тиббии ноҳияи Муъминобод (ғайридавлатӣ);
de86c114-c497-44d9-aa91-90e8dd6b90a9;Норак;Филиал;Филиали Коллеҷи тиббӣ-иҷтимоии шаҳри Левакант (ғайридавлатӣ) дар шаҳри Норак;
a3f495b2-c981-445e-a584-f254a1f4c650;Нуробод;Коллеҷ;Коллеҷи муҳандисӣ-техникии ноҳияи Нуробод;
8e7ca29c-0a50-4a41-9054-dc1b24fd52f4;Панҷ;Коллеҷ;Коллеҷи тиббӣ-инноватсионии ноҳияи Панҷ (ғайридавлатӣ);
